func_type,B,D,F,B_BLOCK,D_BLOCK,F_BLOCK,time
fused,512,1024,4096,128,128,128,0.002817268431997945
naive,512,1024,4096,128,128,128,0.0006785182919993531
fused,512,1024,4096,256,128,128,0.0025764735140000996
naive,512,1024,4096,256,128,128,0.0006607598540103936
fused,512,1024,4096,512,128,128,0.002771369630005211
naive,512,1024,4096,512,128,128,0.0006619561739971687
fused,512,1024,4096,768,128,128,0.0031124908039964795
naive,512,1024,4096,768,128,128,0.0006539777080070053
fused,512,1024,4096,1024,128,128,0.0038529702340092628
naive,512,1024,4096,1024,128,128,0.0006698967739976069
fused,512,1024,4096,128,128,128,0.0028456727299962952
naive,512,1024,4096,128,128,128,0.0006755369540042011
fused,512,1024,4096,128,256,128,0.0015880804860025819
naive,512,1024,4096,128,256,128,0.0006772670340033074
fused,512,1024,4096,128,512,128,0.000965455949997704
naive,512,1024,4096,128,512,128,0.000656120571991778
fused,512,1024,4096,128,768,128,0.0006269292379984108
naive,512,1024,4096,128,768,128,0.0006672710519997054
fused,512,1024,4096,128,1024,128,0.0006861433980011498
naive,512,1024,4096,128,1024,128,0.0006650138740005786
fused,512,1024,4096,128,128,128,0.002828322352001123
naive,512,1024,4096,128,128,128,0.0006661558720006724
fused,512,1024,4096,128,128,256,0.0024912804199957463
naive,512,1024,4096,128,128,256,0.0006880963339972368
fused,512,1024,4096,128,128,512,0.002509969853999792
naive,512,1024,4096,128,128,512,0.0006789971719990716
fused,512,1024,4096,128,128,768,0.0023390753559979203
naive,512,1024,4096,128,128,768,0.0006780799500047579
fused,512,1024,4096,128,128,1024,0.0024834044339986576
naive,512,1024,4096,128,128,1024,0.0006684072979878692
