func_type,E,B,D,F,B_BLOCK,D_BLOCK,F_BLOCK,time
fused,8,2048,1024,4096,256,1024,1024,0.0012628139739995277
naive,8,2048,1024,4096,256,1024,1024,0.0018672061059999124
fused,32,2048,1024,4096,256,1024,1024,0.003029460900000231
naive,32,2048,1024,4096,256,1024,1024,0.006503478284000266
fused,64,2048,1024,4096,256,1024,1024,0.005343329934001303
naive,64,2048,1024,4096,256,1024,1024,0.012654002337999373
fused,128,2048,1024,4096,256,1024,1024,0.010183823262000714
naive,128,2048,1024,4096,256,1024,1024,0.024749423206000758
fused,8,8192,1024,4096,256,1024,1024,0.00304744793600139
naive,8,8192,1024,4096,256,1024,1024,0.007911430278000352
fused,32,8192,1024,4096,256,1024,1024,0.004802924201999758
naive,32,8192,1024,4096,256,1024,1024,0.02535258908200012
fused,64,8192,1024,4096,256,1024,1024,0.007209983695999199
naive,64,8192,1024,4096,256,1024,1024,0.04850348923399997
fused,128,8192,1024,4096,256,1024,1024,0.011675032678000661
naive,128,8192,1024,4096,256,1024,1024,0.09483632696800078
fused,8,16384,1024,4096,256,1024,1024,0.0053883306320017255
naive,8,16384,1024,4096,256,1024,1024,0.01569922360000055
fused,32,16384,1024,4096,256,1024,1024,0.007226373305999005
naive,32,16384,1024,4096,256,1024,1024,0.05013098765599898
fused,64,16384,1024,4096,256,1024,1024,0.009689370189999862
naive,64,16384,1024,4096,256,1024,1024,0.09616965485800075
fused,128,16384,1024,4096,256,1024,1024,0.014173000428000704
naive,128,16384,1024,4096,256,1024,1024,0.1895319672579999
fused,8,32768,1024,4096,256,1024,1024,0.01012022898000032
naive,8,32768,1024,4096,256,1024,1024,0.03255475579200129
fused,32,32768,1024,4096,256,1024,1024,0.012022661937999602
naive,32,32768,1024,4096,256,1024,1024,0.1017557645640004
fused,64,32768,1024,4096,256,1024,1024,0.014422033464000377
naive,64,32768,1024,4096,256,1024,1024,0.19411055177200023
fused,128,32768,1024,4096,256,1024,1024,0.019225710364000406
naive,128,32768,1024,4096,256,1024,1024,0.37880094893600014
