num_params,activated_params,num_tokens,flops,val_loss
1327565,533453,10000.0,32007180000.0,-1
1327565,533453,50000.0,160035900000.0,-1
1327565,533453,100000.0,320071800000.0,-1
1327565,533453,250000.0,800179500000.0,-1
1327565,533453,500000.0,1600359000000.0,-1
1327565,533453,750000.0,2400538500000.0,-1
1327565,533453,1000000.0,3200718000000.0,-1
1327565,533453,1500000.0,4801077000000.0,-1
1327565,533453,2000000.0,6401436000000.0,-1
4748685,1587597,10000.0,95255820000.0,-1
4748685,1587597,50000.0,476279100000.0,-1
4748685,1587597,100000.0,952558200000.0,-1
4748685,1587597,250000.0,2381395500000.0,-1
4748685,1587597,500000.0,4762791000000.0,-1
4748685,1587597,750000.0,7144186500000.0,-1
4748685,1587597,1000000.0,9525582000000.0,-1
4748685,1587597,1500000.0,14288373000000.0,-1
4748685,1587597,2000000.0,19051164000000.0,-1
7113037,2377549,10000.0,142652940000.0,-1
7113037,2377549,50000.0,713264700000.0,-1
7113037,2377549,100000.0,1426529400000.0,-1
7113037,2377549,250000.0,3566323500000.0,-1
7113037,2377549,500000.0,7132647000000.0,-1
7113037,2377549,750000.0,10698970500000.0,-1
7113037,2377549,1000000.0,14265294000000.0,-1
7113037,2377549,1500000.0,21397941000000.0,-1
7113037,2377549,2000000.0,28530588000000.0,-1
9477389,3167501,10000.0,190050060000.0,-1
9477389,3167501,50000.0,950250300000.0,-1
9477389,3167501,100000.0,1900500600000.0,-1
9477389,3167501,250000.0,4751251500000.0,-1
9477389,3167501,500000.0,9502503000000.0,-1
9477389,3167501,750000.0,14253754500000.0,-1
9477389,3167501,1000000.0,19005006000000.0,-1
9477389,3167501,1500000.0,28507509000000.0,-1
9477389,3167501,2000000.0,38010012000000.0,-1
14205965,4744205,10000.0,284652300000.0,-1
14205965,4744205,50000.0,1423261500000.0,-1
14205965,4744205,100000.0,2846523000000.0,-1
14205965,4744205,250000.0,7116307500000.0,-1
14205965,4744205,500000.0,14232615000000.0,-1
14205965,4744205,750000.0,21348922500000.0,-1
14205965,4744205,1000000.0,28465230000000.0,-1
14205965,4744205,1500000.0,42697845000000.0,-1
14205965,4744205,2000000.0,56930460000000.0,-1
14994701,5532941,10000.0,331976460000.0,-1
14994701,5532941,50000.0,1659882300000.0,-1
14994701,5532941,100000.0,3319764600000.0,-1
14994701,5532941,250000.0,8299411500000.0,-1
14994701,5532941,500000.0,16598823000000.0,-1
14994701,5532941,750000.0,24898234500000.0,-1
14994701,5532941,1000000.0,33197646000000.0,-1
14994701,5532941,1500000.0,49796469000000.0,-1
14994701,5532941,2000000.0,66395292000000.0,-1
17752301,7110125,10000.0,426607500000.0,-1
17752301,7110125,50000.0,2133037500000.0,-1
17752301,7110125,100000.0,4266075000000.0,-1
17752301,7110125,250000.0,10665187500000.0,-1
17752301,7110125,500000.0,21330375000000.0,-1
17752301,7110125,750000.0,31995562500000.0,-1
17752301,7110125,1000000.0,42660750000000.0,-1
17752301,7110125,1500000.0,63991125000000.0,-1
17752301,7110125,2000000.0,85321500000000.0,-1
21689517,8686509,10000.0,521190540000.0,-1
21689517,8686509,50000.0,2605952700000.0,-1
21689517,8686509,100000.0,5211905400000.0,-1
21689517,8686509,250000.0,13029763500000.0,-1
21689517,8686509,500000.0,26059527000000.0,-1
21689517,8686509,750000.0,39089290500000.0,-1
21689517,8686509,1000000.0,52119054000000.0,-1
21689517,8686509,1500000.0,78178581000000.0,-1
21689517,8686509,2000000.0,104238108000000.0,-1
30580997,11279429,10000.0,676765740000.0,-1
30580997,11279429,50000.0,3383828700000.0,-1
30580997,11279429,100000.0,6767657400000.0,-1
30580997,11279429,250000.0,16919143500000.0,-1
30580997,11279429,500000.0,33838287000000.0,-1
30580997,11279429,750000.0,50757430500000.0,-1
30580997,11279429,1000000.0,67676574000000.0,-1
30580997,11279429,1500000.0,101514861000000.0,-1
30580997,11279429,2000000.0,135353148000000.0,-1
38371297,14152129,10000.0,849127740000.0,-1
38371297,14152129,50000.0,4245638700000.0,-1
38371297,14152129,100000.0,8491277400000.0,-1
38371297,14152129,250000.0,21228193500000.0,-1
38371297,14152129,500000.0,42456387000000.0,-1
38371297,14152129,750000.0,63684580500000.0,-1
38371297,14152129,1000000.0,84912774000000.0,-1
38371297,14152129,1500000.0,127369161000000.0,-1
38371297,14152129,2000000.0,169825548000000.0,-1
52524557,17875469,10000.0,1072528140000.0,-1
52524557,17875469,50000.0,5362640700000.0,-1
52524557,17875469,100000.0,10725281400000.0,-1
52524557,17875469,250000.0,26813203500000.0,-1
52524557,17875469,500000.0,53626407000000.0,-1
52524557,17875469,750000.0,80439610500000.0,-1
52524557,17875469,1000000.0,107252814000000.0,-1
52524557,17875469,1500000.0,160879221000000.0,-1
52524557,17875469,2000000.0,214505628000000.0,-1
73516557,23123469,10000.0,1387408140000.0,-1
73516557,23123469,50000.0,6937040700000.0,-1
73516557,23123469,100000.0,13874081400000.0,-1
73516557,23123469,250000.0,34685203500000.0,-1
73516557,23123469,500000.0,69370407000000.0,-1
73516557,23123469,750000.0,104055610500000.0,-1
73516557,23123469,1000000.0,138740814000000.0,-1
73516557,23123469,1500000.0,208111221000000.0,-1
73516557,23123469,2000000.0,277481628000000.0,-1
75879693,25486605,10000.0,1529196300000.0,-1
75879693,25486605,50000.0,7645981500000.0,-1
75879693,25486605,100000.0,15291963000000.0,-1
75879693,25486605,250000.0,38229907500000.0,-1
75879693,25486605,500000.0,76459815000000.0,-1
75879693,25486605,750000.0,114689722500000.0,-1
75879693,25486605,1000000.0,152919630000000.0,-1
75879693,25486605,1500000.0,229379445000000.0,-1
75879693,25486605,2000000.0,305839260000000.0,-1
79818253,29425165,10000.0,1765509900000.0,-1
79818253,29425165,50000.0,8827549500000.0,-1
79818253,29425165,100000.0,17655099000000.0,-1
79818253,29425165,250000.0,44137747500000.0,-1
79818253,29425165,500000.0,88275495000000.0,-1
79818253,29425165,750000.0,132413242500000.0,-1
79818253,29425165,1000000.0,176550990000000.0,-1
79818253,29425165,1500000.0,264826485000000.0,-1
79818253,29425165,2000000.0,353101980000000.0,-1
